Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,PLR_ID,PLR_NAME,BEZ,STAND,GROESSE_M2
,,,,,,"-1","0","-1",,,"11100206",Wartenberg Nord,"11",01.01.2021,659163.079
,,,,,,"-1","0","-1",,,"03701659",Immanuelkirchstraße,"03",01.01.2021,416209.907
,,,,,,"-1","0","-1",,,"11100203",Falkenberg Ost,"11",01.01.2021,909961.257
,,,,,,"-1","0","-1",,,"11300619",Rudolf-Seiffert-Park,"11",01.01.2021,372623.718
,,,,,,"-1","0","-1",,,"02300417",Reichenberger Straße West,"02",01.01.2021,369691.05
,,,,,,"-1","0","-1",,,"02100103",Am Berlin Museum,"02",01.01.2021,413261.601
,,,,,,"-1","0","-1",,,"09200512",Wuhlheide,"09",01.01.2021,4246764.664
,,,,,,"-1","0","-1",,,"01100415",Invalidenstraße,"01",01.01.2021,780145.036
,,,,,,"-1","0","-1",,,"11400931",Massower Straße,"11",01.01.2021,415395.107
,,,,,,"-1","0","-1",,,"06200420",Lichterfelde Süd,"06",01.01.2021,1370724.921
,,,,,,"-1","0","-1",,,"09300922",Kosmos Viertel,"09",01.01.2021,380869.074
,,,,,,"-1","0","-1",,,"01300834",Brunnenstraße,"01",01.01.2021,774989.435
,,,,,,"-1","0","-1",,,"08100103",Schillerpromenade Süd,"08",01.01.2021,479077.191
,,,,,,"-1","0","-1",,,"07400721",Paradestraße,"07",01.01.2021,4281118.367
,,,,,,"-1","0","-1",,,"04400725",Güterbahnhof Grunewald,"04",01.01.2021,543668.46
,,,,,,"-1","0","-1",,,"05300841",Siemensdamm,"05",01.01.2021,268020.634
,,,,,,"-1","0","-1",,,"07400927",Rathaus Tempelhof,"07",01.01.2021,3059291.42
,,,,,,"-1","0","-1",,,"06200316",Belßstraße,"06",01.01.2021,671760.849
,,,,,,"-1","0","-1",,,"03200205",Uhlandstraße,"03",01.01.2021,2411876.944
,,,,,,"-1","0","-1",,,"11300826",Frankfurter Allee Süd,"11",01.01.2021,1053291.625
,,,,,,"-1","0","-1",,,"04400729",Hundekehle,"04",01.01.2021,3754480.402
,,,,,,"-1","0","-1",,,"05200423",Magistratsweg,"05",01.01.2021,640359.571
,,,,,,"-1","0","-1",,,"02400624",Weberwiese,"02",01.01.2021,564671.677
,,,,,,"-1","0","-1",,,"03701657",Thälmannpark,"03",01.01.2021,441343.324
,,,,,,"-1","0","-1",,,"01300730",Drontheimer Straße,"01",01.01.2021,452951.105
,,,,,,"-1","0","-1",,,"04501153",Babelsberger Straße,"04",01.01.2021,586111.81
,,,,,,"-1","0","-1",,,"08100417",Braunschweiger Straße,"08",01.01.2021,412647.33
,,,,,,"-1","0","-1",,,"04501043",Preußenpark,"04",01.01.2021,625790.463
,,,,,,"-1","0","-1",,,"01200626",Thomasiusstraße,"01",01.01.2021,552841.838
,,,,,,"-1","0","-1",,,"04300517",Tegeler Weg,"04",01.01.2021,519148.696
,,,,,,"-1","0","-1",,,"08200622",Jahnstraße,"08",01.01.2021,667038.153
,,,,,,"-1","0","-1",,,"03601346",Gethsemanekirche,"03",01.01.2021,193537.945
,,,,,,"-1","0","-1",,,"09501940",Güterbahnhof Köpenick,"09",01.01.2021,596173.156
,,,,,,"-1","0","-1",,,"10200628",Neue Grottkauer Straße,"10",01.01.2021,498608.53
,,,,,,"-1","0","-1",,,"02300314",Oranienplatz,"02",01.01.2021,443939.153
,,,,,,"-1","0","-1",,,"08100310",Maybachufer,"08",01.01.2021,254730.185
,,,,,,"-1","0","-1",,,"04300414",Schloßstraße,"04",01.01.2021,562551.123
,,,,,,"-1","0","-1",,,"06400841",Zehlendorf Eiche,"06",01.01.2021,1102137.543
,,,,,,"-1","0","-1",,,"05100105",Amorbacher Weg,"05",01.01.2021,2202574.296
,,,,,,"-1","0","-1",,,"07300619",Grazer Platz,"07",01.01.2021,2573774.394
,,,,,,"-1","0","-1",,,"12200309",Scharnweberstraße,"12",01.01.2021,707704.668
,,,,,,"-1","0","-1",,,"06200312",Komponistenviertel Lankwitz,"06",01.01.2021,1237842.731
,,,,,,"-1","0","-1",,,"09300920",Dorf Altglienicke,"09",01.01.2021,4304670.517
,,,,,,"-1","0","-1",,,"10100208",Bürgerpark,"10",01.01.2021,811083.749
,,,,,,"-1","0","-1",,,"09200510",Helmholtz-Kiez,"09",01.01.2021,2330946.424
,,,,,,"-1","0","-1",,,"11100308",Zingster Straße West,"11",01.01.2021,903489.486
,,,,,,"-1","0","-1",,,"04501045",Schaperstraße,"04",01.01.2021,590815.934
,,,,,,"-1","0","-1",,,"01400940",Schillerpark,"01",01.01.2021,917904.723
,,,,,,"-1","0","-1",,,"06100207",Mittelstraße,"06",01.01.2021,679687.835
